post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 21:54:19,0.2975206611570248,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 21:54:30,1.0675675675675675,True
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 21:54:59,0.19047619047619047,False
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 21:55:47,0.80625,True
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 21:55:53,0.3870967741935484,False
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,50,joeax,2026-04-14 21:56:08,0.5681818181818182,False
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 21:56:14,0.18181818181818182,False
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 21:56:31,0.0,False
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-14 21:56:46,0.2623574144486692,True
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 21:57:07,0.5064935064935064,False
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-14 21:57:09,0.046875,False
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 21:57:23,0.1111111111111111,False
